Stock,Asset Turnover,Asset Turnover (Average),Asset Turnover (Average) YOY,Asset Turnover YOY,Book Value Per Share * USD,Book Value Per Share * USD YOY,Cap Ex as a % of Sales,Cap Spending USD Mil,Cash & Short-Term Investments,Cash & Short-Term Investments YOY,EBT Margin,Earnings Per Share USD,Earnings Per Share USD YOY,Financial Leverage,Financial Leverage (Average),Fixed Assets Turnover,Free Cash Flow Per Share * USD,Free Cash Flow Per Share * USD YOY,Free Cash Flow USD Mil,Free Cash Flow USD Mil YOY,Free Cash Flow/Net Income,Free Cash Flow/Net Income YOY,Free Cash Flow/Sales %,Mean Future Fractional Price Change,Mean Past Fractional Price Change,Mean Price,Net Income USD Mil,Net Income USD Mil YOY,Net Margin %,Net PP&E,Net PP&E YOY,Operating Cash Flow USD Mil,Operating Cash Flow USD Mil YOY,Operating Income USD Mil,Operating Income USD Mil YOY,Operating Margin,Operating Margin %,Return on Assets %,Return on Assets % YOY,Return on Equity %,Revenue,Revenue USD Mil,Revenue USD Mil YOY,Revenue YOY,Shares Mil,Shares Mil YOY,Total Assets,Total Assets YOY,Total Liabilities,Total Liabilities & Equity,Total Liabilities & Equity YOY,Total Liabilities YOY,Total Stockholders' Equity,Total Stockholders' Equity YOY,Working Capital Ratio,P/E Ratio,P/B Ratio,D/E Ratio,Working Capital Ratio YOY,P/E Ratio YOY,P/B Ratio YOY,D/E Ratio YOY
CCBG,0.05,0.05,1.0,1.0,15.95,0.982747997535,3.61,-5.0,1.83,0.867298578199,10.41,0.53,1.0,10.2,10.2,1.3,1.49,1.12030075188,29.0,1.45,3.19,1.47685185185,22.28,1.33445657975,1.02656274991,15.4273604545,9.0,1.0,6.99,3.53,0.909793814433,34.0,1.36,14.0,1.27272727273,10.41,10.4,0.34,0.971428571429,3.33,100.0,130.0,1.02362204724,1.0,17.0,1.0,100.0,1.0,90.19,100.0,1.0,1.00624790807,9.81,0.94599807136,1.10877037366,29.1082272726,0.967232630376,9.19367991845,0.993790885904,1.02656274991,1.04458391417,1.06368917499
CCC,0.84,0.84,0.913043478261,0.913043478261,8.55,1.00234466589,11.64,-62.0,8.17,0.955555555556,11.85,0.82,0.891304347826,1.67,1.67,1.78,0.13,0.191176470588,8.0,0.380952380952,0.18,0.428571428571,1.42,1.07344972263,0.833821789936,16.5554363182,43.0,0.877551020408,8.12,47.37,1.013478819,70.0,0.833333333333,65.0,0.866666666667,12.11,12.1,6.8,0.834355828221,10.87,100.0,535.0,0.963963963964,1.0,53.0,0.981481481481,100.0,1.0,39.99,100.0,1.0,1.14979873491,60.01,0.920116528672,2.50062515629,20.1895564856,1.93630834131,0.666388935177,0.869717429354,0.935507374075,0.831871329605,1.24962295436
CCE,0.92,0.92,0.938775510204,0.938775510204,4.6746,0.540977989049,4.58,-311.64,2.23,0.854406130268,10.61,2.4592,0.913079251358,7.95,7.95,3.68,3.5828,1.61425053233,601.02,0.900955865874,1.04,1.0612244898,8.84,0.909022016373,1.15514363179,34.9302805909,577.7,0.850108268506,8.5,25.23,1.02602684018,912.66,0.905870320772,839.52,0.803443614149,12.35,12.4,7.8,0.996168582375,53.13,100.0,6.79778,0.802198988512,1.0,235.0,0.93253968254,100.0,1.0,87.43,100.0,1.0,1.05021021021,12.57,0.750447761194,1.14377216059,14.2039202143,7.47235711952,6.9554494829,0.952190323688,1.26510774401,2.13528767376,1.39944479085
CCEL,1.42,1.42,0.767567567568,0.767567567568,-0.54,0.514285714286,0.51,-0.0,24.43,0.737398128584,4.5,0.83,16.6,2.42,2.42,23.02,0.3,3.0,5.0,5.0,0.59,0.227799227799,22.49,1.19058115531,1.180991962,3.4025,8.0,8.0,38.43,4.51,0.482869379015,5.0,2.5,3.0,1.5,13.91,13.9,54.57,10.7,8.47,100.0,21.0,1.05,1.0,10.0,1.0,100.0,1.0,125.46,100.0,1.0,0.611820930459,-25.46,0.242337711784,0.797066794197,4.09939759036,-6.30092592593,-4.92772977219,1.63446516818,0.0711440940964,2.29637325944,2.52466248837
CCF,0.95,0.95,1.0,1.0,16.05,1.10995850622,1.12,-3.0,16.99,0.783671586716,17.32,2.82,0.986013986014,1.67,1.67,5.6,3.8,1.45593869732,38.0,1.58333333333,1.45,1.59340659341,16.08,1.61626850134,1.12863187991,37.924133,26.0,0.962962962963,10.97,15.87,0.884122562674,41.0,1.41379310345,42.0,1.16666666667,17.75,17.7,10.37,0.915269196823,17.95,100.0,238.0,1.0625,1.0,9.0,1.0,100.0,1.0,40.15,100.0,1.0,0.904482991665,59.85,1.07624527963,2.49066002491,13.4482741135,2.36287433022,0.670843776107,1.10560398506,1.14464084275,1.01682348807,0.840406001108
CCI,0.17,0.17,0.944444444444,0.944444444444,21.69,1.05804878049,24.81,-909.0,0.81,0.975903614458,12.93,4.42,4.25,3.11,3.11,0.39,2.6,0.959409594096,885.0,0.998871331828,0.58,0.25550660793,24.16,1.03860969977,1.14633052276,82.2633244091,1.521,0.00389002557545,40.31,43.47,1.00462214005,1.794,1.07683073229,946.0,1.00531349628,25.82,25.8,6.84,4.12048192771,21.4,100.0,3.664,1.03532071207,1.0,334.0,1.003003003,100.0,1.0,67.83,100.0,1.0,0.994137476183,32.17,1.01259049418,1.47427392009,18.6116118573,3.79268438954,2.10848616724,1.00589709568,0.269724828885,1.08343825341,0.981776425808
CCK,0.89,0.89,0.864077669903,0.864077669903,1.0,0.515463917526,4.04,-354.0,7.16,0.72032193159,7.29,2.82,1.01075268817,69.58,69.58,3.41,6.66,1.29069767442,602.0,1.03082191781,1.53,1.01324503311,6.87,1.05536794106,0.992140484167,50.2068183636,393.0,1.01550387597,4.49,26.94,1.07330677291,956.0,1.04824561404,927.0,1.14444444444,10.58,10.6,3.98,0.912844036697,298.86,100.0,8.762,0.963174672969,1.0,139.0,1.0,100.0,1.0,98.56,100.0,1.0,0.997873848335,1.44,1.17073170732,1.01461038961,17.8038362991,50.2068183636,68.4444444444,1.00213068182,0.981585798167,1.92475253928,0.852350578784
CCL,0.4,0.4,1.0,1.0,31.55,0.974366893144,14.6,-2.294,3.56,4.2380952381,11.45,2.26,1.44871794872,1.65,1.65,0.48,2.04,1.26708074534,2.251,0.00265761511216,1.28,1.82857142857,14.32,1.00148124778,1.28497084176,50.2167263,1.757,1.44490131579,11.18,81.27,0.980337756333,4.545,1.3250728863,2.574,1.45259593679,16.38,16.4,4.46,1.43870967742,7.31,100.0,15.714,0.989297406195,1.0,779.0,1.00128534704,100.0,1.0,39.42,100.0,1.0,1.02230290456,60.58,0.986002604167,2.5367833587,22.2197903982,1.59165535024,0.650709805216,0.978183663119,0.886971023514,1.318775146,1.03681562324
CCMP,0.66,0.66,0.904109589041,0.904109589041,17.07,1.11350293542,3.34,-14.0,53.63,1.13454622382,17.19,2.26,1.10784313725,1.54,1.54,4.26,3.8,1.71945701357,84.0,1.52727272727,1.5,1.38888888889,20.38,1.2264447846,0.988553213623,41.3293458095,56.0,1.09803921569,13.44,14.19,0.846153846154,98.0,1.46268656716,75.0,1.04166666667,18.12,18.1,8.82,1.00455580866,13.9,100.0,414.0,0.974117647059,1.0,25.0,1.0,100.0,1.0,35.05,100.0,1.0,0.919464847849,64.95,1.04961215255,2.85306704708,18.2873211546,2.42116847156,0.539645881447,1.08758915835,0.892322369823,0.887786805205,0.876004384682
CCNE,0.04,0.04,1.0,1.0,13.87,1.09992069786,7.54,-7.0,1.19,0.922480620155,34.06,1.54,0.9625,11.32,11.32,2.39,1.87,0.857798165138,27.0,1.22727272727,1.21,1.24742268041,30.03,1.51423515009,1.0130885438,17.34429,22.0,0.95652173913,24.67,1.72,1.06172839506,34.0,1.1724137931,30.0,0.9375,34.06,34.1,0.99,0.92523364486,11.31,100.0,90.0,1.01123595506,1.0,14.0,1.0,100.0,1.0,91.16,100.0,1.0,0.997483313273,8.84,1.02671312427,1.0969723563,11.262525974,1.25048954578,10.3122171946,1.00252303642,1.05255952603,0.921055986828,0.971530693135
